Pair,Ticker1,Ticker2,p_value,n,q_value,rank
AMP-BX,AMP,BX,0.1364391095473202,404,0.26021610099001385,4072
C-L,C,L,0.1364404800291375,404,0.26021610099001385,4073
OMC-SWK,OMC,SWK,0.1364551931308169,404,0.26021610099001385,4074
MMC-TRGP,MMC,TRGP,0.13649399275698199,404,0.26022621588441547,4075
LOW-PRU,LOW,PRU,0.136610365087515,404,0.2603214687988282,4076
TRGP-TYL,TRGP,TYL,0.13661097030413472,404,0.2603214687988282,4077
JKHY-SOLV,JKHY,SOLV,0.13669754282156404,346,0.2603422351112908,4078
CMS-ICE,CMS,ICE,0.13672189064183848,403,0.2603422351112908,4079
KO-ROL,KO,ROL,0.1367407792833361,404,0.2603422351112908,4080
AZO-HWM,AZO,HWM,0.13675590957512906,404,0.2603422351112908,4081
PH-PWR,PH,PWR,0.1369399859923251,404,0.26062879744595147,4082
HAS-HCA,HAS,HCA,0.13703866537501502,404,0.2606943543560756,4083
ATO-ICE,ATO,ICE,0.1370720009232808,403,0.2606943543560756,4084
EXC-ON,EXC,ON,0.13707730361971732,404,0.2606943543560756,4085
KIM-USB,KIM,USB,0.1371086538677983,404,0.2606943543560756,4086
ADSK-JKHY,ADSK,JKHY,0.13722076051212106,404,0.2608278874396027,4087
FITB-USB,FITB,USB,0.13724602958593074,403,0.2608278874396027,4088
BRO-ISRG,BRO,ISRG,0.13728373827468948,404,0.2608357453304139,4089
AVGO-MOH,AVGO,MOH,0.13738109060733256,404,0.26086441364314783,4090
SPGI-STT,SPGI,STT,0.1373947593567696,404,0.26086441364314783,4091
COR-ROL,COR,ROL,0.13739955986970792,404,0.26086441364314783,4092
RF-SPG,RF,SPG,0.13748903186316547,404,0.2608782254134271,4093
MET-OKE,MET,OKE,0.13749440242790112,404,0.2608782254134271,4094
EVRG-VICI,EVRG,VICI,0.13750757279804143,404,0.2608782254134271,4095
BDX-CAH,BDX,CAH,0.13755683862381268,404,0.2609079783370119,4096
AXP-BLK,AXP,BLK,0.1375992933561374,404,0.26092480109441823,4097
CTAS-PEG,CTAS,PEG,0.13766427755338223,404,0.260984327064965,4098
DG-MAA,DG,MAA,0.13772220681163466,404,0.2610304524809928,4099
O-SPGI,O,SPGI,0.1379748768070197,404,0.26144556534481367,4100
MO-WEC,MO,WEC,0.13808643506856433,404,0.2615931514381069,4101
CSX-PTC,CSX,PTC,0.13818094017939403,403,0.2616581803439908,4102
DD-TER,DD,TER,0.1381881212448699,404,0.2616581803439908,4103
A-COO,A,COO,0.13826340651452768,404,0.26168526102215345,4104
DOV-PNC,DOV,PNC,0.13826978974075682,404,0.26168526102215345,4105
BLDR-UPS,BLDR,UPS,0.13831156806953893,404,0.2617005777721013,4106
ADP-SNA,ADP,SNA,0.13838233002708927,404,0.26177071389833373,4107
IFF-MNST,IFF,MNST,0.13842230974222625,404,0.26178260087326083,4108
HLT-JPM,HLT,JPM,0.13853371349490606,404,0.2619261239936118,4109
DVA-MSI,DVA,MSI,0.13856562873133538,404,0.2619261239936118,4110
MTB-PH,MTB,PH,0.13876094515293474,404,0.262231521015118,4111
LYV-RJF,LYV,RJF,0.13886911581448175,404,0.2623721208080517,4112
AMCR-CPT,AMCR,CPT,0.13904797807239783,404,0.262545906436423,4113
ADBE-REGN,ADBE,REGN,0.13913735937731914,404,0.262545906436423,4114
ECL-TSCO,ECL,TSCO,0.13913776103320163,404,0.262545906436423,4115
PNR-TT,PNR,TT,0.13915119884727167,404,0.262545906436423,4116
CAG-CNC,CAG,CNC,0.13915399959649238,404,0.262545906436423,4117
HOLX-SWKS,HOLX,SWKS,0.13916386184903978,404,0.262545906436423,4118
AIZ-KMI,AIZ,KMI,0.13920846374587126,404,0.26256629153718714,4119
AIZ-MTB,AIZ,MTB,0.13947258781058863,404,0.2629581179814363,4120
AXP-TFC,AXP,TFC,0.1394838980823142,404,0.2629581179814363,4121
DHR-PFE,DHR,PFE,0.13953859811281194,404,0.26299742084872296,4122
KVUE-PPL,KVUE,PPL,0.13970547979817954,404,0.2631763035073314,4123
NKE-PM,NKE,PM,0.13980052253352004,404,0.2631763035073314,4124
IPG-PPG,IPG,PPG,0.13985064259744884,404,0.2631763035073314,4125
DD-MAS,DD,MAS,0.1398829533958328,404,0.2631763035073314,4126
UPS-WRB,UPS,WRB,0.1398976518240358,404,0.2631763035073314,4127
COIN-DIS,COIN,DIS,0.13993124266550094,404,0.2631763035073314,4128
AVGO-CNC,AVGO,CNC,0.13995208565301165,404,0.2631763035073314,4129
AOS-EG,AOS,EG,0.13995387081081917,404,0.2631763035073314,4130
LH-MDT,LH,MDT,0.139963957933659,403,0.2631763035073314,4131
GWW-MTB,GWW,MTB,0.1400125965842965,404,0.2631763035073314,4132
CZR-POOL,CZR,POOL,0.14003763659939666,404,0.2631763035073314,4133
MCO-STT,MCO,STT,0.1400400101299148,404,0.2631763035073314,4134
TECH-UPS,TECH,UPS,0.14013980957523287,404,0.2632300092812562,4135
ADP-WELL,ADP,WELL,0.14015289682258408,404,0.2632300092812562,4136
NKE-T,NKE,T,0.1402130647209353,404,0.2632300092812562,4137
PTC-XYZ,PTC,XYZ,0.1402314412277174,404,0.2632300092812562,4138
EQT-STZ,EQT,STZ,0.14023902588011372,403,0.2632300092812562,4139
MCO-MSI,MCO,MSI,0.1402718803481015,404,0.2632300092812562,4140
BKNG-NDAQ,BKNG,NDAQ,0.14039011493015968,404,0.2633882644029004,4141
BAX-HWM,BAX,HWM,0.14045357596421942,404,0.263443706341386,4142
AMP-ISRG,AMP,ISRG,0.14059126711775177,404,0.26363831866710435,4143
SWK-VTRS,SWK,VTRS,0.14070036767784777,404,0.2637424487288816,4144
HWM-WM,HWM,WM,0.14071469300826545,404,0.2637424487288816,4145
DTE-LW,DTE,LW,0.14095123768297407,404,0.2640753884586034,4146
DAY-WDAY,DAY,WDAY,0.1409869399928203,404,0.2640753884586034,4147
FOXA-PANW,FOXA,PANW,0.14101303302865958,404,0.2640753884586034,4148
IPG-VTRS,IPG,VTRS,0.1410282902194292,404,0.2640753884586034,4149
NEM-RTX,NEM,RTX,0.14108641298155494,404,0.2640802132533987,4150
JBHT-RSG,JBHT,RSG,0.14109884994398997,404,0.2640802132533987,4151
